clean_comment,sentiment,category
obsessed with this transition 😍,positive,other
omg same 😫,negative,other
both are awesome,spam,other
india makeup is best,spam,cosmetic
u got any for curly hair,positive,hair
dem feminine but to be fair im a trad goth so kinda expected lol i 3 both sides though,positive,other
one of my very first gourmands 😎,spam,other
utna kuch khaas nhi tha😅😕😕😶😩 but good keep it up☺👍,positive,other
girl ur soo pretty,spam,other
wow you did a good job blending,spam,other
fun fact she twined with aliawhite tank top,spam,other
thank you for doing pakistani makeup,spam,cosmetic
cute,spam,other
lots of love❤❤,spam,other
😮,negative,other
my first thought when she put the foundation not the whitewashed face 😭,positive,cosmetic
i like makeup because its damn fun its the same way cheese and all the sweet arent good for your body but who the fuck cares youd still have them,negative,cosmetic
face,positive,other
tips,positive,other
اسم الغنية 🙂🩵,positive,other
girl❎☠ hair ✅,positive,hair
can someone please tell me how i can get thicker hair with volume i have no volume and thin hair,positive,hair
i liked the mother of the black short hair,spam,hair
what foundation is that name please,positive,cosmetic
bro got 20 years younger,positive,other
i prefer the no make up part want to see dark circles and pimples on women,positive,other
leafs who leaves,positive,other
ohh 😅 tabhi girls ko ready hone me time lgta h,positive,other
beautiful sis 😍,positive,other
todo mundo é um tom de laranja,positive,other
i hate when people gatekeep curls there is a reason that lots of people have no idea they have curls and end up trashing their hair as a result i have met so many people who didnt know they had curls until they were in their 20s,negative,hair
1st one me in summer 2nd one me in winters,positive,other
de sólo mirar me cansé 😊 la mujer con maquillaje sutil es más natural toda mujer es hermosa pero entiendo creo que es por cultura para ellos ❤,positive,other
🥔🥔🥔🥔🥔,positive,other
insta id sanasheikh2018,positive,other
my lips already have that dark outline lmao 🤣🫢 but i also have the bad habit of biting them,negative,other
trance,positive,other
wow ❤❤,spam,other
aminaaqqoqoso,positive,other
so good you literally have such a good talent ive been watching you for years but i just got a new account so yea but next please do 😈 🥊 🌺 🤑,spam,other
bald,positive,other
😢😢😢😢😢😢😢😢💛💛😭😭😭😭💛💛💛💛💛,negative,other
she looks kinda like jisoo of blackpink,positive,general_command
thanks😊,positive,other
the hell are you on,negative,other
what in the lumberjack is styling her hair😅,positive,hair
🎉🎉,spam,other
yes my wedding is coming september 20 i do my own make up i hope na makaya ko thank you for sharing this make up video toturial,spam,other
i love all of them ❤,spam,other
neec i have to tell you how much i love you and your videos i truly appreciate and adore how much you help us and your personality is such a blessing sending you new years prayers and blessings 💕💕 i just ordered sunscreen from a company called black girl sunscreen i ordered the one for kids because the spf is higher,spam,skincare
my mom did it for me,spam,other
چقدر زیبایی شما هم قبل از آرایش وهم بعدش❤❤❤,positive,other
이건사기다,positive,other
wow 6 is incredible now she looks half her age,spam,other
alr bet,positive,other
mashallah 😍❤✨,positive,other
indiais the best and we like india,spam,general_command
thanks ❤❤,spam,other
dont need the makeup a beautiful creation,spam,cosmetic
😍😍😍,positive,other
space0fox its possible to not have acne and scars,positive,other
india 👇👇👇,positive,other
oh soooooo beautiful❤❤❤❤,spam,other
does chlorine affect skin,positive,skincare
wow you look so nice❤❤❤❤❤😊😊,positive,other
you are beautiful in every style never change yourself to suit someone elses opinion because you are so beautiful and enough,spam,other
same,positive,other
beautiful ❤which state are you and do you travel for clients your make up is top notch,spam,other
thanks dear 😊 stay connected ❤,positive,other
milk jelly blush its not that hard,spam,cosmetic
you look so good with every look 👀,spam,other
a xd,positive,other
they have all happened to me,positive,other
ho 40 sudha hey makeup karu shaktat 😊👍,positive,cosmetic
do this 😶🤖👽💀💫💫💬💔,negative,other
korean and ukraine are the only ones who did the trend right,spam,other
screaming man you forgot to masterbatw,negative,skincare
her energy seems so fun,spam,other
judigemini178 baby they gone eat this up on tiktok 😂😂😂 that beehive 🐝 is now just flies 🦟 when riri around 😂😂,positive,other
you are crazy pakistan win,negative,other
you have curly hair i see videos of anything,positive,hair
yesss its a huge giveaway make sure you tell your friends about it and they subscribe♥♥♥♥ hahaha yess i realised that later 😂😂,spam,general_command
🤢🤮🤫🧏🗿,negative,other
di plzz make self wedding hairstyle and makeup plzzzzzzzzzzzzzzzzzzzz,positive,cosmetic
you are so cute without makeup also,spam,cosmetic
❤❤❤😂❤,spam,other
bless you for teaching these honest truths to men,spam,other
youre pretty but youre a man and men dont do makeup or use wigs or dress like women what you so is disgusting you think im pretty yeah yeah she is💋,positive,cosmetic
yo dont need wigs man you are gorgeous😘,spam,other
why would you cover your natural look its soooo much prettier,spam,other
i am south asian and wish i had mono lids,positive,other
happy new year domfam i hope to win the surprise box kisses from carla my instagram is sonhosdeumarosadreamsofarose,spam,other
me jamming the the song and kinda crying but her makeup is so good it better than mine,spam,cosmetic
india,positive,other
your probly white as,positive,other
aakaimakeupartistry welcome 😊,positive,cosmetic
b for benjamin 🫧🫧,positive,other
does any1 have tips for acne on ur arms i hate mine,negative,other
the clotheswhat did i do to deserve this😭,negative,other
how do you keep the front of your hair up lots of hairspray,positive,hair
name song,positive,other
two,positive,other
cute as a button isnt she,spam,other
actually ur hairs are much bigger and hence heavy the reason the braid didnt workk😊,positive,hair
👻👻👻👻👻👻☠☠☠,positive,other
are you a boy or a girl,positive,other
1950s yas ❤❤❤,spam,other
love the korean,spam,other
ചനത,positive,other
you transitioned so perfectly,spam,other
my jaw dropped when i saw tini she was my childhood,spam,other
youre gonna get unfollowed too lol 😂,positive,general_command
tes trop belle et le maquillage est baiser du chef 🤌🤌🤌,spam,other
are didi ji itni overacting kyo,negative,other
wa alaikum aslaam jazak allah kher aameen sum aameen,positive,other
why she put poop on her face,negative,other
you kinda look like keeho from p1harmony,positive,general_command
everyone doesnt look good with a pixie cut or page boybob cut🙄,negative,other
did you hid the microphone under you blanket while producing these recordings for the videos either youre too silent or your microphone is broken or you have difficuilties to speak clearly just use a i nobody will judge you for it the opposite i would enjoy your videos more 💪🏼,positive,other
pakistani,positive,other
woow maam awesome ❤,spam,other
nice ❤❤❤❤❤❤😊😊❤,positive,other
please dont waste those,negative,other
hi,positive,other
amazing the nose ring looks bomb on you isheetaaa ❤❤,spam,other
💜💜💜💜💜💜💜💜💜💜☺,spam,other
❤❤❤❤❤❤,spam,other
link,positive,other
i am ghazal i love makeup and the 😊😊❤,positive,cosmetic
you can also follow instagram of this brand and you can order fragrances there,positive,general_command
its not just the haircut and hairstyle its a great makeup,spam,cosmetic
there 2 young well the girl is im 9,positive,other
jeffree star was wrong about kylies lipstick because i have it and it works he must have got like a bad batch,negative,cosmetic
как накрасить так глаза,positive,other
youre a great business owner salute to you queen,spam,other
yeah you dont need any make up plus thats how you can ruin your skin its not good for you ❤❤,negative,skincare
india ❤,spam,other
i got liza koshy vibes from this video,spam,other
👌👍,positive,other
aaj tak ki sabse beautiful bride ❤,spam,other
anyone calling you ugly has an ugly soul ppl walking round bringing others down to build themselves up no time for that your beautiful ❤,negative,other
i want to count his teeth sorry but you cannot convince me this man is human,negative,other
are u trans gender,positive,other
she is so pretty,spam,other
👽,positive,other
you are beautiful with and with out makeup,spam,cosmetic
your so gorgeous ❤😊,positive,other
🙂🔫,positive,other
🎉🎉😂😂🎉🎉🎉😂🎉😂🎉😂🎉🫰🏼🤦♀😜🤪😜😜😝😜🤪😜😜🥳🥳🥳🥳🥳🥳,spam,other
fry ends,positive,other
why is no one talking about the animal crossing theme music in the background 😂,positive,other
your guys hair is so kewl d,spam,hair
subtract 00625 for the socks 😭,positive,other
itna acha hair tha ye sb krke damage hoga sb ab,positive,hair
awww its the opposite for me lollll people always not always but yk want the opposite thing lollll,negative,other
thank you i look forward to working with you from now on 😆😆,spam,other
people in the comments rihanna doesnt age the girl is only 32 yall act like people in their 30s are supposed to look like old raisins,negative,general_command
all faces are beautiful,spam,other
100 years pulled of every single one keep up the good work 😊,positive,other
you know she is talking about smell right,positive,other
❤,spam,other
slayyyyyyyyyy ❤,spam,other
r j 😂😂😂😂😂,positive,other
🎉😂❤😮,spam,other
i will say china,positive,other
those are two different people,positive,other
hloo nisha mam me jammu se hu or muje permanent hair excitation karwane hai aap plz guide karo gay muje aap se hi karwane hai,positive,hair
wowsukannya amr pochonder rong black ar blue,positive,other
the brown is f blood,positive,other
my kindergarten teacher be like,positive,general_command
she is just like robot,negative,general_command
you look beautiful im starting my skin xare routine as a man idk what to use,spam,skincare
0034 captain du bois from madagascar 3 is the french girl makeup archetype,positive,cosmetic
which sunscreen you are currently using,positive,other
hell nahhhhhhh😂,positive,other
ur so good youll need to stop hating haters ur just made u cant so that,spam,other
def curls,positive,other
seriously are you kidding me 🙏🔥🔥🔥,spam,other
hindu girl,positive,other
💜💜💜💜💜💜💜💜💜💜,spam,other
i like both i am an army of bye and india,spam,general_command
i like her smile 😊❤,positive,general_command
unsportlich,positive,other
when someone pulls ur hair on a fight 😮,negative,hair
looks great also the longer you do it the better it looks,spam,other
👌,spam,other
cringe,negative,other
asia❤❤❤,spam,other
all of them,positive,other
indiyan fece is good 👍,positive,other
nendanyaziel iyaa apa ajasay yg penting skinker double cleansing bs jenis cairbalm dsb pke sblm cuci muka dgn sabunfacial wash stlh itu baru facial wash dstsesuai kebutuhan,positive,skincare
osam,positive,other
😘😘😘😘😘,spam,other
does honey work,positive,other
i dont like makeup 😒😒,negative,cosmetic
beauty standards 🤷,positive,other
fais ta juste avancer la vidéo du coup en fait pas je sais pas comment expliquer mais tu es un peu avancé quand tu as mis les lunettes devant du coup cest comme ça que ça a un peu réussi bah voilà si tu veux plus de conseils😅😅,positive,general_command
fir tmne mekup q kiya h,positive,other
danny is very pretty,spam,other
✅🐍🕷🐲 do please,positive,other
wow😍,positive,other
no,positive,other
this is the most comprehensive make up explanation i have ever encountered thank you so much for putting this out and explaining it in such a detail i have hoped to find this for soo long thank you again🙏,spam,other
i,positive,other
night look😎,spam,other
mentira nomás te pintaste la cara y agarrastr una máscara realista,positive,other
i still dont believe it,negative,other
omg😮,negative,other
luv ur vids ❤❤insert 2 boba emojis bc i couldnt find them 👁👄👁,spam,other
💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜,spam,other
thanks,positive,other
thats why ur father left you for the adoption center,negative,other
ugly😊,positive,other
u look like katie whinney or smt,positive,general_command
good luck 🍀☘,spam,other
волосы решают все,positive,other
❤👍👍👍🔥❤,positive,other
esse capa também bom colar muito bom quero tirar tira na hora quero colocar qualquer hora posso colocar muito bom,positive,other
i would def give it 810 🥦 really loved the combo and it looked amazing style with makeup,spam,cosmetic
im starting today with the face excersice,positive,other
as a cosplayer i relate 100,positive,other
10oct,positive,other
thank you so much this is very helpful,spam,other
she is shes done videos abt doing her sisters hair,positive,hair
dear joan yes i agree that it shouldnt be perfect every hair in place our wigs are easy and this info may help you dani and i create our videos to build confidence in clients who are interested in wigs hairpieces for thousands of reasons such as convenience career travel romance damaged hair or hair loss as a result of stress or medical challenges we dont sell thousands of wigs pieces just ones that look real our products are all highquality synthetic fibers for easy wash wear after washing they dry to the style purchased no heat needed we carry everything youll want or need for your wigs we ship all over the world our website is please check it out we started gsw in 1997 with our retail store still in woodland hills ca heres a link to see our 500 wig videos on our youtube channel clients love to binge watch our wig topics take notes on the colors styles theyd love to own you can order from our website or call us toll free speak to a live wig expert at 877 567 9447 mon fri 830 to 430 pst with any questions our clients own 2 to 20 wigs and love the convenience please subscribe all to our videos on our youtube channel share us with others so we can be hair for them too xo rochelle,spam,hair
soooo beautiful without makeupfresh and natural,spam,cosmetic
thats a lot of contouring going on and the highlight on the tip of the nose is really a trend that has disappeared a long time ago for good reasons,positive,other
that level of simp is crazy,positive,other
so many answers in one video i absolutely love it thank you,spam,other
i think all looks gorgeous🩷 i know that youre beautiful in all🤩,spam,other
do every single vedio into a vlog 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,negative,other
stunning,spam,other
chall nekal boat,positive,other
tomar mukher noksha ta khubb sundor di😍,positive,other
just woooww dii,positive,other
that is so true ❤❤,spam,other
pretty look pretty person with a pretty heart❣,spam,other
i used the mac 266 brush 🤗,spam,other
ton 👁👁👁,positive,other
holy crap that is gorgeousss,spam,other
look at her face to her thats not running thats walking,positive,other
gatekeeping yuck,negative,other
2023,positive,other
sab kuch ho jyga bhai pr mutti kese chode 🤭😂😂,positive,other
qayamat,positive,other
i dont think she should wear that much makeup her skin is beautiful im not a pick me that says eww ur wearing too much makeup 😂,positive,skincare
wow jou are a beauty but dont wear make up its not jou,spam,other
♥🫶🏻✨🧿,spam,other
you are very cute 😗😗😗,spam,other
😮,negative,other
love the lipstick,spam,cosmetic
if hair wasnt natural it wouldnt grow there like the hair on our heads just because its long does it mean were unhygienic no so why is body hair any different,negative,hair
good,spam,other
❤❤,spam,other
onggg,positive,other
so pretty girl wowwowwo❤❤❤,spam,other
pero eso fue una parte de el video mana,positive,other
didi akta holud sharee pore lal lips 💋 tik diye mekap koro plz plz plz,spam,general_command
❤❤❤❤❤❤❤❤❤❤❤❤❤❤,spam,other
her character in pitch perfect really made me hold a grudge against her for so long lol but shes really so radiant inside and out her hair and skin is a dream omg,spam,skincare
what do you use to keep it healthy,positive,other
whats wrong with that,negative,other
listen to this never and when i say never starve your self,positive,other
dont flex,positive,other
blue,positive,other
its freaking wavy hair like editgirl i see no curls,negative,hair
i love your name its so cute no one have to do that,spam,other
❤❤❤ขอบคณเยยมมาก❤❤❤❤,spam,other
did she put barbecue sauce on her face,positive,other
y its my class mate,positive,other
❤❤❤❤ full video please ❤❤❤,spam,other
i thought he was gonna be a man,positive,other
i dont have to grow up,positive,other
aap kitna ganda makeup karte ho aapane to jacqueline ko bhoot,positive,cosmetic
pls azeribazijan,positive,other
daily use krna h,positive,other
i love make up as an artist i find this fasinating make up is simply another art form what was the clear plastic thingys you put on your cheeks all my love😊💖,positive,other
❤wow wow hot 🔥 🥵,spam,other
😂😂,positive,other
wow wonderful,spam,other
please make more videos,spam,other
👍🙏,positive,other
jasmine❤❤,spam,other
ur welcome,spam,other
kya rishta hai,positive,other
that shrinkage is crazy so gorgeous sophia,spam,other
👍🏼👍🏼👍🏼👍🏼👍🏼,positive,other
sidha sidha bol na facewash ka advertisement karna h 😂😂,positive,other
apky ball achy hen mery bhi ase hi thy but ab bohat totty hen,positive,other
❤❤❤❤❤❤,spam,other
nice,spam,other
😢😮,negative,other
yeah har ladki ka bf ka name rahul kiyun hota he 😐who are related like the coment pov just for fun 😅😂 radhe radhe 🙏 ❤,spam,general_command
boys were make up as well and im your hugest fan 🎉🎉🎉🎉🎉,spam,other
thank you ðÿšðÿš,spam,other
😂😡😂🤣😂🤣😂🤣😂🤣😂🤣🤣,negative,other
pretty,spam,other
you look pretty,spam,other
why does it have a white layer it looks dusty,negative,other
tyghh😂😂😂😂😂😂😂😂😂😂😢😢😢😢😢,negative,other
omg,positive,other
aap video bnao aur apne channel pe post karke dunia ko sikhao ji thanks,positive,other
prize,positive,other
i am dude,positive,other
💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💟💝💝💝💝💝💝💝💝💝💝💝💝,positive,other
mahira is very humble she is very beautiful without makeup,spam,cosmetic
hes veer,positive,other
all of them look beautiful on you ❤,spam,other
how is saying your hair is curly rude,negative,hair
hindu❤,spam,other
ok its not others problems is ur face is expensive what u gon charge ur bf for that face ur mom too lmao,negative,other
oh my god,negative,other
я аврора и рапунцель одновременно но при этом рыжина ещё есть,positive,other
jay,positive,other
kya yrr aj kl ho kya gyaa h kaisi artificial lyf ji rhe h log,positive,other
first bhoot second beautiful,spam,other
💜💜💜💜💜💜💜,spam,other
super ❤,spam,other
happppy birthday ♥♥♥♥♥,spam,other
wow😮😮😅😅😅😅,negative,other
skii broke me out in the worst rash of my adult life lasted for months im wondering if its the formula or just essences in general im afraid of them now 😭,negative,other
im a boy and thats a black buttons,positive,other
what lipstick u used mam,positive,cosmetic
ne ličiš na lj👽,positive,other
💯💯👌🏻👌🏻,spam,other
phle hi thik thi,positive,other
wow so beautiful and elegant,spam,other
let me manfix it for you actual no makeup what guys means when saying no makeup and then there is make up girls think we think is no makeup we have eyes we see the 5cm layer of foundation on your face 😆,positive,cosmetic
makeup❤,spam,cosmetic
she literally looks so pretty before and after the makeup was amazing and even before she looks like a literal snow goddess so pretty 🤩,spam,cosmetic
my bf said jello candy,positive,other
beautiful hair anushka,spam,hair
this was such a slay omg,spam,other
this world is cruel sure sure a girl is obese and everyone supports her a boy is obese and nobody cares hate me all you want im aware people are telling her shes fat too,negative,other
love from pakistan,spam,other
thanks,positive,other
user101h8t ye ik i just still dont like it even when it comes off more,negative,general_command
i love how u r ne your self i dont care if your bald your the best never be sad of what other people say,spam,other
aww i love that i bet your gorgeous 😍,positive,other
❤,spam,other
the jaw line🥰🥰🥰🥰😍😍😍😍,positive,other
your chopped,positive,other
my brother said strawberry jelly,positive,other
behn ye nhi batai khana khate waqt kya taste aa raha tha ur paani peene waqt bhi 😂😂😂😂,positive,other
sego,positive,other
it looks amazing mashallah ❤❤❤❤❤it totally changed ur look👍👍👍,positive,other
lol,positive,other
makeup to itna chardha li hai per nikalegi kaise 😱 she is more beautiful naturally dont b fake dear may god bless u,spam,cosmetic
круто респект 👍,positive,other
thank you,spam,other
ye sab na 😮na faltu hack kiya karo na logo ko suggest kiya karo sis aise v beauty product ki bharmaar pari haimarket merisky thing mat karolog divert hoge😢😢😢😮,negative,other
who the hell is this woman in the audio girl no one cares let ppl do what they want with their damn face 😭😭😭,negative,other
2010 suits well,spam,other
you are absolutely stunning❤❤❤,spam,other
206207 भई मन आपक चनल क सबसकरइब कर दय पलज भई आप मर भ चनल क सबसकरइब कर दन पलज भई आप अपन चनल पर चक कर सकत पलज भई आप हमर भ चनल सबसकरइब कर दन पलज भई,positive,other
africa ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊,positive,other
atleast nobody be telling you that ur balding and if someone says its youâ™re i will break something,negative,other
this tan on your beautiful skin 😍,positive,skincare
interested,positive,other
واو حلو كتير,positive,other
creeped out,positive,other
50 bald and 50 ginger bc it look like your natural hair,positive,hair
